filename,width,height,class,xmin,ymin,xmax,ymax
0_concrete_241.jpg,1246,765,complete,447,153,798,612
0_factory_196.jpg,2448,2448,complete,642,490,1805,1958
0_wood_455.jpg,1600,1200,complete,457,240,1143,960
0_metal_417.jpg,1920,1080,complete,703,216,1216,864
0_wood_499.jpg,1600,1200,complete,515,240,1085,960
0_factory_148.jpg,3264,2448,complete,1050,490,2213,1958
0_wood_457.jpg,1920,1080,complete,651,216,1268,864
0_concrete_263.jpg,1920,1080,complete,712,216,1208,864
0_factory_160.jpg,2448,2448,complete,642,490,1805,1958
0_metal_360.jpg,512,288,complete,190,58,321,230
0_factory_31.jpg,4032,3024,complete,1322,605,2710,2419
0_factory_143.jpg,2448,2448,complete,642,490,1805,1958
0_factory_79.jpg,3024,4032,complete,359,806,2664,3225
0_concrete_296.jpg,1920,1080,complete,703,216,1216,864
0_wood_433.jpg,1920,1080,complete,712,216,1208,864
0_factory_197.jpg,2448,2448,complete,642,490,1805,1958
0_factory_59.jpg,2448,2448,complete,662,490,1786,1958
0_factory_187.jpg,2448,2448,complete,642,490,1805,1958
0_concrete_329.jpg,2880,1800,complete,1012,360,1867,1440
0_factory_188.jpg,2448,2448,complete,642,490,1805,1958
0_factory_20.jpg,2448,2448,complete,662,490,1786,1958
0_wood_448.jpg,1024,640,complete,365,128,659,512
0_metal_399.jpg,1920,1200,complete,675,240,1245,960
0_metal_376.jpg,1600,1000,complete,514,200,1085,800
0_factory_60.jpg,4032,3024,complete,1152,605,2880,2419
0_factory_208.jpg,3264,2448,complete,1050,490,2213,1958
0_concrete_272.jpg,910,683,complete,260,136,649,545
0_factory_165.jpg,2448,2448,complete,642,490,1805,1958
0_wood_453.jpg,1920,1080,complete,651,216,1268,864
0_factory_0.jpg,4032,3024,complete,1322,605,2710,2419
0_factory_72.jpg,2448,2448,complete,524,490,1923,1958
0_wood_460.jpg,1920,1200,complete,617,240,1303,960
0_concrete_273.jpg,1920,1200,complete,617,240,1303,960
0_concrete_288.jpg,1920,1080,complete,651,216,1268,864
0_concrete_306.jpg,1140,760,complete,389,152,750,608
0_metal_387.jpg,3840,2160,complete,1406,432,2433,1728
0_factory_44.jpg,2448,2448,complete,662,490,1786,1958
0_factory_207.jpg,4032,3024,complete,1297,605,2734,2419
0_factory_228.jpg,4032,3024,complete,1297,605,2734,2419
0_wood_431.jpg,1300,866,complete,451,173,848,692
0_factory_98.jpg,2448,3264,complete,291,653,2157,2611
0_metal_420.jpg,1600,1000,complete,562,200,1037,800
0_wood_478.jpg,1920,1080,complete,703,216,1216,864
0_concrete_335.jpg,1000,667,complete,342,133,658,533
0_wood_456.jpg,1300,866,complete,403,173,897,692
0_concrete_297.jpg,910,683,complete,293,136,617,545
0_factory_100.jpg,2448,2448,complete,524,490,1923,1958
0_factory_225.jpg,2448,2448,complete,642,490,1805,1958
0_metal_407.jpg,2560,1440,complete,938,288,1622,1152
0_wood_430.jpg,1600,1200,complete,524,240,1075,960
0_concrete_275.jpg,3008,3008,complete,644,602,2363,2406
0_concrete_253.jpg,1600,885,complete,597,177,1003,708
0_concrete_327.jpg,1680,1050,complete,590,210,1089,840
0_factory_3.jpg,3264,2448,complete,1070,490,2194,1958
0_factory_50.jpg,3264,2448,complete,1070,490,2194,1958
0_concrete_279.jpg,2880,1800,complete,925,360,1954,1440
0_wood_510.jpg,1920,1200,complete,675,240,1245,960
0_factory_95.jpg,2448,2448,complete,524,490,1923,1958
0_metal_394.jpg,1024,822,complete,317,164,707,657
0_factory_175.jpg,4032,3024,complete,1297,605,2734,2419
0_concrete_310.jpg,1000,667,complete,341,133,658,533
0_factory_135.jpg,2448,3264,complete,448,653,1999,2611
0_wood_439.jpg,1920,1200,complete,684,240,1235,960
0_factory_64.jpg,4032,3024,complete,1152,605,2880,2419
0_factory_49.jpg,4032,3024,complete,1322,605,2710,2419
0_factory_46.jpg,2448,2448,complete,662,490,1786,1958
0_factory_209.jpg,3024,4032,complete,554,806,2470,3225
0_factory_193.jpg,2448,2448,complete,642,490,1805,1958
0_metal_374.jpg,1280,720,complete,434,144,845,576
0_factory_178.jpg,2448,2448,complete,642,490,1805,1958
0_factory_183.jpg,3264,2448,complete,1050,490,2213,1958
0_factory_94.jpg,4032,3024,complete,1152,605,2880,2419
0_factory_108.jpg,4032,3024,complete,1152,605,2880,2419
0_factory_6.jpg,2448,2448,complete,662,490,1786,1958
0_concrete_247.jpg,910,683,complete,298,136,611,545
0_factory_63.jpg,3264,2448,complete,932,490,2331,1958
0_wood_509.jpg,3600,3600,complete,944,720,2655,2880
0_factory_54.jpg,2448,2448,complete,662,490,1786,1958
0_concrete_312.jpg,1000,667,complete,341,133,658,533
0_metal_401.jpg,1920,1080,complete,703,216,1216,864
0_factory_32.jpg,2448,2448,complete,662,490,1786,1958
0_factory_51.jpg,2448,2448,complete,662,490,1786,1958
0_metal_340.jpg,852,480,complete,316,96,536,384
0_metal_425.jpg,3000,2000,complete,1025,400,1975,1600
0_concrete_324.jpg,1920,1080,complete,703,216,1216,864
0_concrete_336.jpg,1000,563,complete,366,113,633,450
0_factory_91.jpg,4032,3024,complete,1152,605,2880,2419
0_factory_39.jpg,2448,2448,complete,662,490,1786,1958
0_factory_218.jpg,2448,3264,complete,448,653,1999,2611
0_concrete_249.jpg,1920,1080,complete,712,216,1208,864
0_concrete_254.jpg,2880,1800,complete,1027,360,1853,1440
0_factory_2.jpg,2448,2448,complete,662,490,1786,1958
0_factory_120.jpg,4032,3024,complete,1297,605,2734,2419
0_factory_113.jpg,2448,2448,complete,524,490,1923,1958
0_wood_462.jpg,3600,3600,complete,771,720,2829,2880
0_concrete_332.jpg,2560,1600,complete,900,320,1660,1280
0_concrete_262.jpg,1000,667,complete,347,133,653,533
0_factory_1.jpg,3024,4032,complete,586,806,2438,3225
0_concrete_258.jpg,1000,667,complete,347,133,653,533
0_factory_118.jpg,2448,2448,complete,524,490,1923,1958
0_factory_62.jpg,2448,2448,complete,524,490,1923,1958
0_wood_465.jpg,728,485,complete,225,97,502,388
0_factory_26.jpg,2448,2448,complete,662,490,1786,1958
0_factory_111.jpg,2448,2448,complete,524,490,1923,1958
0_factory_171.jpg,2448,2448,complete,642,490,1805,1958
0_factory_61.jpg,3024,4032,complete,359,806,2664,3225
